tier,leagueId,queue,name,entries,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'uBgHXs3skYTc-NZQHQIXZoWXWdOOFGkQJZcChxgKgUaLHlDzDEZjYBzLrg', 'summonerName': 'marshmallowo', 'leaguePoints': 1039, 'rank': 'I', 'wins': 153, 'losses': 99, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",uBgHXs3skYTc-NZQHQIXZoWXWdOOFGkQJZcChxgKgUaLHlDzDEZjYBzLrg,marshmallowo,1039,I,153,99,False,False,False,False,bgfNo7eBcAjQg3CIx4PqIdN6Q88PSe_if2c93uj-sez-il2jTkX2TmlUyZECLdR73luMLDkzr434Xw
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'NbSCPKvU9tyJMFqPzFBpqTRo5Y98BABRvcuSjFos4JjT4ww', 'summonerName': 'Shadow Nia', 'leaguePoints': 878, 'rank': 'I', 'wins': 120, 'losses': 81, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",NbSCPKvU9tyJMFqPzFBpqTRo5Y98BABRvcuSjFos4JjT4ww,Shadow Nia,878,I,120,81,False,False,True,True,qGVF35mI5PMF4cgHpQnHAlm9FPtN1_VQ2N8QYNIP_4O4SO-GbzZOwq5jKbrTs-MK5k3JqNFg0IQPpw
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '4aUR2LaGiFwIXf_jkKMr_2mHSPz2-DODF-J_8twKd8xBjyhh6_Yrw6UqGg', 'summonerName': '칠리 맛있어요', 'leaguePoints': 902, 'rank': 'I', 'wins': 124, 'losses': 86, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",4aUR2LaGiFwIXf_jkKMr_2mHSPz2-DODF-J_8twKd8xBjyhh6_Yrw6UqGg,칠리 맛있어요,902,I,124,86,False,False,True,True,8XyjnkEv2WO6HyouOM6d3opBwda9UQsIuOSMF4X4a8adHCy8ivUj9VDCsRplLULoEcsLRGts7FqtCg
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '9fWkS7cYHz7qQ3NkRJs6QaYl3hkdTMsu3C9vf35tUi1kzMc', 'summonerName': '메가 영재', 'leaguePoints': 919, 'rank': 'I', 'wins': 464, 'losses': 426, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",9fWkS7cYHz7qQ3NkRJs6QaYl3hkdTMsu3C9vf35tUi1kzMc,메가 영재,919,I,464,426,False,False,True,True,PDXHsnnOQLfh8OVEeBANuQwBIRBX294QQNW7WA3s0EtniW7EdF8MJMMZ_xZrLXyXdqsZpXEdiINAJg
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '-eyyzhtyY4sSGaIXLLWK47bQQy-1rDa6mUVmPv8hzhnJIvM', 'summonerName': '모든일은같이', 'leaguePoints': 1129, 'rank': 'I', 'wins': 205, 'losses': 152, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",-eyyzhtyY4sSGaIXLLWK47bQQy-1rDa6mUVmPv8hzhnJIvM,모든일은같이,1129,I,205,152,True,False,False,False,Rh73W9nA_ms1ra8vhXmv2YyBDvdmcauuHkFw76m9GayfEPY_MBjBL4zy5RNaFnbCydTdDtuUkPqjfA
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'ckYQMVTR1xGRJ2et0_xpaflNcMKxGZcuw5CWnC63oSB43y0AgwUFy4nO7Q', 'summonerName': '', 'leaguePoints': 873, 'rank': 'I', 'wins': 127, 'losses': 92, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",ckYQMVTR1xGRJ2et0_xpaflNcMKxGZcuw5CWnC63oSB43y0AgwUFy4nO7Q,,873,I,127,92,True,False,False,False,
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'f5x80lm_l9VJ0Ap6F7u37Zh2pypV9fo_FDcsSRqBYJk8mtwBlo-wTLwFTA', 'summonerName': 'BRO DDoiV', 'leaguePoints': 1288, 'rank': 'I', 'wins': 199, 'losses': 154, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",f5x80lm_l9VJ0Ap6F7u37Zh2pypV9fo_FDcsSRqBYJk8mtwBlo-wTLwFTA,BRO DDoiV,1288,I,199,154,True,False,False,True,3JmUTktWAldZJl_bzWXiJDczM9pu6OzDu5HEBKm5wrBwh_g68QZ55HOqYWWwgbvhoBQXpFVSGR28tA
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'ktknRIOUZ0zdLzM9ImTW7lbmHBhVIBuytqZ99wvVnTvog8M', 'summonerName': 'kctz', 'leaguePoints': 1399, 'rank': 'I', 'wins': 158, 'losses': 97, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",ktknRIOUZ0zdLzM9ImTW7lbmHBhVIBuytqZ99wvVnTvog8M,kctz,1399,I,158,97,True,False,False,True,RM61jsNCLd1LzeoFVUPK19kwBmFZF3xI02KW4bdGO0T8gZFeL5bIaKLvAXK9-_QQJDcps3hU-iICMQ
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': '0ZPDu-glpqDlYzCF8s3TO2oCV7td6t9DeKwD131w0wEzexdrHU8sFpOojg', 'summonerName': 'g90dfl09idk9202d', 'leaguePoints': 899, 'rank': 'I', 'wins': 203, 'losses': 167, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",0ZPDu-glpqDlYzCF8s3TO2oCV7td6t9DeKwD131w0wEzexdrHU8sFpOojg,g90dfl09idk9202d,899,I,203,167,False,False,True,True,RBw0NOeoER2c39RCLRYigje9abvcYnI2YvFk44yaE4vQ3qao2u_euiUWPlc4Z-pJUp-b7KZg_4ZFSA
CHALLENGER,03746e6d-117c-33f2-a366-332950715348,RANKED_SOLO_5x5,Sona's Sentinels,"{'summonerId': 'vvPk0-8Yjr8e_xwfpq1RpMb-6oUgC_NFgHMwlIbub_3BL0g', 'summonerName': '블리츠파이크바드', 'leaguePoints': 1012, 'rank': 'I', 'wins': 135, 'losses': 92, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",vvPk0-8Yjr8e_xwfpq1RpMb-6oUgC_NFgHMwlIbub_3BL0g,블리츠파이크바드,1012,I,135,92,True,False,False,True,4tYqOaRydcm8yDCDyAZr-y5Jw7gd8L7PrlibANaXVh66vKIz5VvcbKT2ib6Mu_ki-WqfTtd8iptuPA
