tier,queue,entries,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'CajIqaq9X2w_vxdgi-BYP7y-aY3yp2B11RvmTODICy1cM8eudfyGc9J0Aw', 'summonerName': 'xycj', 'leaguePoints': 1143, 'rank': 'I', 'wins': 154, 'losses': 100, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",CajIqaq9X2w_vxdgi-BYP7y-aY3yp2B11RvmTODICy1cM8eudfyGc9J0Aw,xycj,1143,I,154,100,True,False,False,False,sCQ6PPw09rKJBXtVGZIKorzh4IZ6me_PmGRGesoYmDoWfw4VXo1i3Ck2KyfdH3Fqg7x2Wyq4C9gl3w
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'P-1SChIgokKi346f4XSmYPBRnkfwAI5zIQ2651PuEK6unEbE8DwQWZHTDQ', 'summonerName': 'BRO A MID', 'leaguePoints': 839, 'rank': 'I', 'wins': 296, 'losses': 251, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",P-1SChIgokKi346f4XSmYPBRnkfwAI5zIQ2651PuEK6unEbE8DwQWZHTDQ,BRO A MID,839,I,296,251,False,False,False,False,CXZtD_nqo21ObHsIuhHZFTQyCrM3aeFfeQtneDB1rlUdQ2YjxiSAxLZrE9hkOZxx1p6LMaNCppoDSA
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'EsSqQXAf5kmxwOp5UgHtQSXf9gNwI09Ax8emGjhE1Obfrnhi3MwQ654vpQ', 'summonerName': 'ni2ba', 'leaguePoints': 900, 'rank': 'I', 'wins': 414, 'losses': 371, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",EsSqQXAf5kmxwOp5UgHtQSXf9gNwI09Ax8emGjhE1Obfrnhi3MwQ654vpQ,ni2ba,900,I,414,371,True,False,False,False,wJDe4AwRlkBhTCyBjC_72NO5t1BgsiNsx7GgX2F3qvYN1f_incs_-hETfdzsuGRJYDBMFR3UmyP2Yg
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'WNLGS3oXNcXbOq6xIY6zO6JpjS6SQhrMAQoGxCcu3fj2Yaf3fkiJol5quw', 'summonerName': 'yuyuyu1', 'leaguePoints': 821, 'rank': 'I', 'wins': 280, 'losses': 237, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",WNLGS3oXNcXbOq6xIY6zO6JpjS6SQhrMAQoGxCcu3fj2Yaf3fkiJol5quw,yuyuyu1,821,I,280,237,True,False,False,False,G0X7LeNXJfQv8twdivew86224utDX8Ji6GV8YUmdLBIv22gc2fYCNmKnzD9MOZmlvEbM_AjRcUFF0g
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'HIRnrqLeTzSGxTUQggyTrQRkJiMj9UIJpIwaZzY0l8zFF4DgDKwgCsdCiA', 'summonerName': '', 'leaguePoints': 1431, 'rank': 'I', 'wins': 248, 'losses': 145, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",HIRnrqLeTzSGxTUQggyTrQRkJiMj9UIJpIwaZzY0l8zFF4DgDKwgCsdCiA,,1431,I,248,145,True,False,False,False,
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'jYDWOJ_-Y2UyHhTud8yqHkNzKuLo0jDFw9n4JlJFPIKWw-q01BlMvOY7QA', 'summonerName': 'DRX 영슌', 'leaguePoints': 1169, 'rank': 'I', 'wins': 240, 'losses': 195, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",jYDWOJ_-Y2UyHhTud8yqHkNzKuLo0jDFw9n4JlJFPIKWw-q01BlMvOY7QA,DRX 영슌,1169,I,240,195,True,False,False,False,58XxlATKnE-zzEVuoWK4Pvcaz3RGA0wjN7Ckng5_0PURQ-ZfZqtetAZsfnQvyAKNvSWJ4X4k-Mn2gQ
CHALLENGER,RANKED_SOLO_5x5,"{'summonerId': 'uqB6jbbtC-SZ-GCqaN8XAbrWCHTZYYEZTSwjvs3W55Re-fqHhXcvFVVx8A', 'summonerName': '빙산의 일 각', 'leaguePoints': 1185, 'rank': 'I', 'wins': 187, 'losses': 115, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}",uqB6jbbtC-SZ-GCqaN8XAbrWCHTZYYEZTSwjvs3W55Re-fqHhXcvFVVx8A,빙산의 일 각,1185,I,187,115,True,False,False,False,vhrIe6eQRmwZ9gQMBjZk2urgUBVg8swL1Gfnm6KEWLv_3SPDblHfPKi6P8JK4tYTqsYMZDDw2ShEjg
